Wavelength [m],Flux [W/m^3]
120.5,2.932156177275271
121.5,195.22485568066878
122.49999999999999,9.149332492497546
123.49999999999999,2.669838767950348
124.50000000000001,1.6002228503951152
125.5,2.674295067894046
126.5,1.886806295679826
127.5,2.735769919894325
128.5,1.7815964966023892
129.5,2.160147916664221
130.5,2.776390889396358
131.5,2.352135413785217
132.5,2.868143972062412
133.5,3.415441618488922
134.5,2.6187002812711317
135.5,1.9121209786137017
136.5,2.8974097747793044
137.5,3.358164613223567
138.5,3.5179100805998944
139.5,4.185251147997244
140.5,3.569269843853907
141.5,4.261553794864009
142.5,5.491872400523176
143.5,4.171981466622055
144.5,4.137761608288612
145.5,2.4513192507007893
146.5,3.4578671629083395
147.5,2.8698842711363497
148.5,3.9596680329933553
149.5,4.388393498395213
150.5,4.215776357237503
151.5,5.116658139550908
152.5,4.157289599421219
153.5,3.925287828449451
154.5,7.509118661073108
155.5,9.640442354965858
156.5,6.493865775354234
157.5,5.8457898621908875
158.5,5.598733966098538
159.5,16.596489787032176
160.5,11.911959717156448
161.5,9.14806214145418
162.5,6.6383448422543525
163.5,14.637602264005528
164.5,8.572195968864676
165.5,8.548575332289781
166.5,15.850000821868784
167.5,12.295556408358351
168.5,8.492873914029394
169.5,14.19979413307264
170.5,15.632007047255474
171.5,10.400415239462399
172.5,11.25838786420245
173.5,11.421151099750958
174.5,10.096122809474322
175.5,16.28827388273904
176.5,27.67529550059275
177.5,37.82559094316497
178.5,10.684015170037533
179.5,7.010074537569815
180.5,22.348428813842347
181.5,23.492262615086496
182.5,20.899451684091595
183.5,16.583213568380344
184.5,7.888294883571122
185.5,14.506154657361478
186.5,3.363859928442926
187.5,27.541838024611184
188.5,4.511043747107758
189.5,11.832066112167832
190.5,14.28760401343402
191.5,10.451010038719028
192.5,35.87634683632025
193.5,10.7311857151376
194.5,10.002464579219888
195.5,17.87843528203399
196.5,15.879093641258207
197.5,26.750657790396872
198.5,8.467698305093839
199.5,14.22358693583108
200.5,23.063786836485527
201.5,5.504867159540176
202.5,5.469040028025492
203.5,5.269333568603047
204.5,14.955525623818199
205.5,9.027466493514485
206.5,11.305231669951343
207.5,20.964925533284944
208.5,10.716143083922319
209.5,16.19984839786406
210.5,16.270997779302622
211.5,16.342147160741188
212.5,16.413296542179747
213.5,16.484445923618317
214.5,16.55559530505688
215.5,16.626744686495446
216.5,16.69789406793401
217.5,16.769043449372575
218.5,16.840192830811134
219.5,16.9113422122497
220.5,16.982491593688263
221.5,17.05364097512683
222.5,17.124790356565395
223.5,17.195939738003958
224.5,17.26708911944252
225.5,17.33823850088109
226.5,17.40938788231965
227.5,17.480537263758215
228.5,17.551686645196778
229.5,17.622836026635344
230.5,17.693985408073907
231.5,17.765134789512476
232.5,17.83628417095104
233.5,17.9074335523896
234.5,17.978582933828164
235.5,18.04973231526673
236.5,18.120881696705293
237.5,18.192031078143863
238.50000000000003,18.26318045958242
239.5,18.334329841020985
240.50000000000003,18.40547922245955
241.49999999999997,18.476628603898114
242.5,18.547777985336676
243.49999999999997,18.61892736677524
244.5,18.690076748213805
245.50000000000003,18.76122612965237
246.5,18.832375511090934
247.5,18.9035248925295
248.49999999999997,18.974674273968066
249.5,19.045823655406625
250.50000000000003,19.116973036845188
251.5,19.188122418283754
252.50000000000003,19.259271799722324
253.5,19.330421181160887
254.5,19.401570562599453
255.49999999999997,19.47271994403801
256.5,19.543869325476578
257.5,19.61501870691514
258.5,19.686168088353707
259.5,19.757317469792262
260.5,19.82846685123083
261.5,19.89961623266939
262.5,19.970765614107965
263.5,20.041914995546527
264.5,20.113064376985093
265.5,20.184213758423656
266.5,20.255363139862215
267.5,20.326512521300785
268.5,20.39766190273935
269.5,20.468811284177914
270.5,20.53996066561648
271.5,20.611110047055043
272.5,20.682259428493605
273.5,20.753408809932168
274.5,20.824558191370734
275.5,20.895707572809297
276.5,20.966856954247866
277.5,19.735542753598573
278.5,9.344134697333967
279.5,23.94162747912967
280.5,11.608424065226371
281.5,13.755706873426861
282.5,9.839465031694488
283.5,29.354682248286718
284.5,10.314041859423384
285.5,17.382542122056254
286.5,10.247470971715114
287.5,18.333590938103516
288.5,13.705881980488824
289.5,14.159592983021996
290.5,39.28580860441289
291.5,22.416528757129427
292.5,7.291146482945956
293.5,21.995142672219707
294.5,14.94725102660395
295.5,16.442630611812827
296.5,30.70789912942802
297.5,26.79590257966578
298.5,14.986423304154354
299.5,18.188667487036557
300.5,38.538908294457215
301.5,38.72390880009719
302.5,21.033003471977377
303.5,48.4540396303205
304.5,43.86460581414064
305.5,24.211769989101892
306.5,20.038067252498767
307.5,29.833353016864738
308.5,29.040316558033314
309.5,12.971059032459348
310.5,14.069269305293965
311.5,35.36153930209659
312.5,11.42426616519443
313.5,11.916508304109653
314.5,47.78105251157388
315.5,45.68146106194784
316.5,89.99080004753363
317.5,17.855402976511638
318.5,11.150290483996438
319.5,5.775454630719652
320.5,11.393536297920036
321.5,12.848511026600088
322.5,7.331509905056015
323.5,14.76348050072644
324.5,13.300822235946097
325.5,22.083986475584144
326.5,9.907228626549234
327.5,4.071014909925841
328.5,17.000812946989708
329.5,11.516088851928261
330.5,10.307767687298615
331.5,14.99408141758187
332.5,7.69207763046488
333.5,8.417916633257338
334.5,7.8327788423502795
335.5,6.18218271308223
336.5,7.562335143496269
337.5,11.11843470827177
338.5,18.945383168952084
339.5,15.1909122139156
340.5,2.69038821020201
341.5,2.69038821020201
342.5,4.413084868414648
343.5,11.219436259917924
344.5,11.219436259917924
345.5,11.025149311815488
346.5,10.589785236041704
347.5,7.860260834253792
348.5,8.86214171158674
349.5,3.6493155430687496
350.5,5.428606961071374
351.5,13.212767307265127
352.5,4.848809691633311
353.5,4.416244238810805
354.5,3.8044452031264018
355.5,3.5013777948964893
356.5,7.488626594128008
357.5,13.249711093676622
358.5,6.8114579823415555
359.5,5.080569979604249
360.5,4.200567244698498
361.5,4.812740782275171
362.5,3.6114062784908465
363.5,3.6114062784908465
364.5,3.6114062784908465
365.5,3.6114062784908465
366.5,3.6114062784908465
367.5,6.259462553863553
368.5,11.627344761728443
369.5,11.627344761728443
370.5,11.627344761728443
371.5,11.627344761728443
372.5,8.808765657643631
373.5,4.989836744167427
374.5,5.97811685845551
375.5,4.956738402232287
376.5,4.47268999658009
377.5,6.797910785243068
378.5,1.8263639554555173
379.5,2.920080932992896
380.5,4.845023135524351
381.5,9.267099932965248
382.5,8.155229502856507
383.5,5.875738463652979
384.5,2.602349762449429
385.5,2.826963963974606
386.5,3.0978647122586462
387.5,3.860724908496573
388.5,5.503953352828849
389.5,5.194609458798939
390.5,2.796231980702474
391.5,2.7332877138049647
392.5,3.2297481886373225
393.5,11.39022189290661
394.5,3.214139160545834
395.5,4.581105610775648
396.5,3.5552154081930776
397.5,17.203323106256715
398.5,9.595347549099184
399.5,7.659868885814135
400.5,5.164498270486781
401.5,2.7145615362898408
402.5,4.70770491708947
403.5,5.548307843128152
404.5,4.318259361447157
405.5,5.9836860735010005
406.5,6.247814124317143
407.5,5.746711906109938
408.5,3.494588680924492
409.5,4.9883038405469255
410.5,9.36690592562997
411.5,2.1947306973015506
412.5,2.406261624537522
413.5,2.5817599625901555
414.5,3.9546343906368477
415.5,4.100177589406542
416.5,2.8450130535748146
417.5,3.1914933403193415
418.5,3.047554853474835
419.5,5.258376949269302
420.5,8.922879727470663
421.5,4.925351205140382
422.5,2.2715874715522335
423.5,3.1046832367275563
424.5,6.696018850149355
425.5,4.552918768643621
426.5,3.5641889558318294
427.5,3.243494100649468
428.5,5.406582540550603
429.5,3.06298585116416
430.5,4.0374954483179275
431.5,3.598578530771703
432.5,6.732352673647997
433.5,6.596401023571288
434.5,14.683370543111085
435.5,3.5981628086449216
436.5,3.356109343154048
437.5,5.304354248725694
438.5,5.727507193099503
439.5,3.503980880601264
440.5,6.564440254683915
441.5,6.943837995323497
442.5,7.657097164209331
443.5,8.145535983539038
444.5,10.28587633228993
445.5,7.018476598230118
446.5,7.6067357092546155
447.5,9.74176486193625
448.5,9.74176486193625
449.5,9.786528746272221
450.5,9.843484904180647
451.5,9.843484904180647
452.5,12.000366335098873
453.5,12.035476054487022
454.5,18.061940131016748
455.5,10.477945082054996
456.5,18.39861756755714
457.5,21.41026291657009
458.5,15.432761383709156
459.5,10.022571293147815
460.5,12.572874343880839
461.5,17.55943604535734
