Wavelength [m],Flux [W/m^3]
1.205e-07,34501177.93368257
1.215e-07,527305236.1229875
1.225e-07,12850362.908966511
1.235e-07,5729351.878754546
1.245e-07,6441196.431771341
1.255e-07,6210887.674883658
1.265e-07,4206461.726339968
1.275e-07,3880255.7497384264
1.285e-07,6946038.915895882
1.295e-07,6700047.484531778
1.305e-07,5355439.637450566
1.315e-07,5794096.924735026
1.325e-07,5562180.4779705675
1.335e-07,8185848.533610507
1.345e-07,7476129.870720026
1.355e-07,7219034.32179797
1.365e-07,6084096.3713420015
1.375e-07,6542301.198897162
1.385e-07,6548036.868002567
1.395e-07,9664882.854997354
1.405e-07,8960683.441642309
1.415e-07,8986649.67961155
1.425e-07,11500487.169325814
1.435e-07,10414690.779400779
1.445e-07,8541543.677588696
1.455e-07,7633775.620110753
1.465e-07,9402959.433077108
1.475e-07,10395388.160100492
1.485e-07,14602221.102664765
1.495e-07,12237000.59009612
1.505e-07,12801065.52767314
1.515e-07,10771988.430015074
1.525e-07,9387901.439657956
1.535e-07,11336085.76759675
1.545e-07,14436594.245995285
1.555e-07,13060507.424553817
1.565e-07,13548830.713916123
1.575e-07,11760108.240684075
1.585e-07,18794602.91422089
1.595e-07,46195623.591903634
1.605e-07,144030127.62884045
1.615e-07,37331844.422679946
1.625e-07,22114421.7169528
1.635e-07,15046982.77325807
1.645e-07,16391239.41391254
1.655e-07,20109492.03357904
1.665e-07,21155508.719283286
1.675e-07,28597671.88425276
1.685e-07,27703096.47537194
1.695e-07,22705386.835197855
1.705e-07,26678730.0222215
1.715e-07,29596602.35267239
1.725e-07,34304844.92093141
1.735e-07,45904882.623044
1.745e-07,32457542.137166288
1.755e-07,51282087.3083939
1.765e-07,59396011.32109796
1.775e-07,41906973.11132227
1.785e-07,28780017.28232973
1.795e-07,9911078.506925458
1.805e-07,10164263.871074883
1.815e-07,33279975.409661952
1.825e-07,20161701.080307014
1.835e-07,17520475.983293917
1.845e-07,13049014.603749039
1.855e-07,8927034.258305173
1.865e-07,8927034.258305173
1.875e-07,1979803.3862346676
1.885e-07,12175035.725882586
1.895e-07,15906763.311119018
1.905e-07,2122111.8591669193
1.915e-07,26418597.005544342
1.925e-07,5380003.24412825
1.935e-07,3734303.1147654364
1.945e-07,22935750.169207755
