Wavelength [m],Flux [W/m^3]
120.5,-3.41117041875181
121.5,88.73997025353304
122.49999999999999,-2.6953087151806807
123.49999999999999,-0.17498885335998512
124.50000000000001,0.21479927909176033
125.5,0.19392143091072278
126.5,0.11586362582195271
127.5,0.08435711464018521
128.5,0.11607618540571284
129.5,-0.3182754699057371
130.5,-0.09536075597664737
131.5,-0.3631512965799448
132.5,-0.36338134977717906
133.5,0.15203789699603257
134.5,-0.5587120187381303
135.5,-0.5323485271582088
136.5,-0.9739327249470476
137.5,-0.346001632978761
138.5,-0.2982754207283724
139.5,0.38844028045869267
140.5,0.3595736052608249
141.5,0.3304482839301471
142.5,-0.02478465355024244
143.5,0.13208477795951232
144.5,-0.046610242530354604
145.5,-0.12567363685628444
146.5,0.14808539703452464
147.5,-0.13636886506499046
148.5,-0.33446614113943224
149.5,-0.28271489536592126
150.5,-0.2604989181318127
151.5,-0.03472842819999284
152.5,-0.08256882915330202
153.5,0.021545784450035528
154.5,0.9684312722275102
155.5,0.01599494116635104
156.5,0.2625996265702758
157.5,-0.41728258116367173
158.5,-1.1025626579970835
159.5,-0.8426840914953139
160.5,-1.0437200296322957
161.5,-2.1369663383421926
162.5,-1.6448205862736849
163.5,-1.3919655777172364
164.5,-2.939730594016604
165.5,-2.6360640091864
166.5,-4.024054148928157
167.5,-2.6912527998223323
168.5,-3.0161989494267223
169.5,-3.5932529463475005
170.5,-2.6883846291898275
171.5,-1.3433573219690882
172.5,-1.094911954378652
173.5,-0.6663290302675662
174.5,0.4471414420789276
175.5,1.027725896361896
176.5,-0.43748493461501714
177.5,1.1355615986111318
178.5,-6.769852193651706
179.5,2.8760255698183106
180.5,-3.692841583392495
181.5,4.649465813103165
182.5,5.615620418042963
183.5,2.2738976082892446
184.5,-4.788828210749633
185.5,-0.9828205774284502
186.5,-2.4647492094412793
187.5,-0.752863088913516
188.5,-6.733083862651035
189.5,2.8848970917958767
190.5,0.21113085791494382
191.5,3.065426344110685
192.5,6.197045436838278
193.5,-5.802454921015452
194.5,1.2835598998981679
195.5,8.186861075578578
196.5,6.44296130975247
197.5,6.139299440323255
198.5,3.764309066755343
199.5,1.454822120550721
200.5,-4.247630418183795
201.5,-1.9304210223169371
202.5,-4.80461760525571
203.5,-3.666651215402891
204.5,-1.7841965291583084
205.5,-1.3898654673902207
206.5,0.7080595136624516
207.5,6.262776160140753
208.5,2.546234399037922
209.5,0.6032229911615088
210.5,0.6140309117960862
211.5,0.6248388324306635
212.5,0.6356467530652411
213.5,0.6464546736998187
214.5,0.6572625943343962
215.5,0.6680705149689735
216.5,0.6788784356035511
217.5,0.6896863562381286
218.5,0.700494276872706
219.5,0.7113021975072835
220.5,0.7221101181418609
221.5,0.7329180387764385
222.5,0.7437259594110159
223.5,0.7545338800455934
224.5,0.765341800680171
225.5,0.7761497213147486
226.5,0.786957641949326
227.5,0.7977655625839035
228.5,0.8085734832184811
229.5,0.8193814038530584
230.5,0.8301893244876359
231.5,0.8409972451222135
232.5,0.8518051657567909
233.5,0.8626130863913685
234.5,0.8734210070259457
235.5,0.8842289276605232
236.5,0.8950368482951008
237.5,0.9058447689296785
238.50000000000003,0.9166526895642558
239.5,0.9274606101988333
240.50000000000003,0.938268530833411
241.49999999999997,0.9490764514679882
242.5,0.9598843721025658
243.49999999999997,0.9706922927371434
244.5,0.9815002133717208
245.50000000000003,0.9923081340062984
246.5,1.0031160546408757
