Wavelength [m],Flux [W/m^3]
120.5,10.91983095023702
121.5,727.0494108872248
122.49999999999999,34.07361616679821
123.49999999999999,9.942917855589346
124.50000000000001,5.959492589258696
125.5,9.959513848130898
126.5,7.026776385360445
127.5,10.188456288760952
128.5,6.634957822236834
129.5,8.04474545397501
130.5,10.339735447570673
131.5,8.759738410137583
132.5,10.681438989708555
133.5,12.719665269999565
134.5,9.752469736244313
135.5,7.121052420293089
136.5,10.790429643333434
137.5,12.506356299733623
138.5,13.101274644239096
139.5,15.586562330688839
140.5,13.292546833873681
141.5,15.87072591354921
142.5,20.452634371513373
143.5,15.537143858881782
144.5,15.409703488877511
145.5,9.129115300941667
146.5,12.87766496204268
147.5,10.687920149149358
148.5,14.746453778435868
149.5,16.343097791648148
150.5,15.700243220952329
151.5,19.055274868056525
152.5,15.482428933592384
153.5,14.618416252821225
154.5,27.96519059922179
155.5,35.90258991577893
156.5,24.184222187746336
157.5,21.77068109825346
158.5,20.850604384231108
159.5,61.80805246538293
160.5,44.36209346742788
161.5,34.06888517097046
162.5,24.722285950728892
163.5,54.512833756447364
164.5,31.924265009407005
165.5,31.836297881211753
166.5,59.02800501464431
167.5,45.79067051712909
168.5,31.628856655602455
169.5,52.88236440577691
170.5,58.21616041188052
171.5,38.7328536956496
172.5,41.92808459593495
173.5,42.53424160451384
174.5,37.59961873338562
175.5,60.66020584072495
176.5,103.06734365191919
177.5,140.86871016400193
178.5,39.78902639319575
179.5,26.106668359649564
180.5,83.22921764601965
181.5,87.48904249489928
182.5,77.8329889491086
183.5,61.75860964768449
184.5,29.37730509780058
185.5,54.02330129071762
186.5,12.527566588559882
187.5,102.57032610283413
188.5,16.79986745225678
189.5,44.06455656702601
190.5,53.20938281521165
191.5,38.921277033780584
192.5,133.60940512000195
193.5,39.964697246718266
194.5,37.250820108877434
195.5,66.58222793438748
196.5,59.13635144996054
197.5,99.62384102958077
198.5,31.5350985550701
199.5,52.97097270910266
200.5,85.89332835632237
201.5,20.50102898732697
202.5,20.367602868143983
203.5,19.623863229217267
204.5,55.69683253904694
205.5,33.61976718092551
206.5,42.10253861847578
207.5,78.07682431176552
208.5,39.90867601865725
209.5,60.330894819023214
210.5,60.59586679546311
211.5,60.860838771903
212.5,61.125810748342865
213.5,61.39078272478277
214.5,61.655754701222655
215.5,61.92072667766254
216.5,62.185698654102424
217.5,62.45067063054231
218.5,62.7156426069822
219.5,62.98061458342209
220.5,63.24558655986197
221.5,63.510558536301865
222.5,63.77553051274176
223.5,64.04050248918163
224.5,64.30547446562153
225.5,64.57044644206142
226.5,64.8354184185013
227.5,65.1003903949412
228.5,65.36536237138108
229.5,65.63033434782096
230.5,65.89530632426086
231.5,66.16027830070075
232.5,66.42525027714065
233.5,66.69022225358052
234.5,66.95519423002041
235.5,67.22016620646029
236.5,67.48513818290019
237.5,67.75011015934007
238.50000000000003,68.01508213577995
239.5,68.28005411221983
240.50000000000003,68.54502608865974
241.49999999999997,68.8099980650996
242.5,69.0749700415395
243.49999999999997,69.33994201797938
244.5,69.60491399441926
245.50000000000003,69.86988597085916
246.5,70.13485794729903
247.5,70.39982992373893
248.49999999999997,70.66480190017882
249.5,70.92977387661871
250.50000000000003,71.19474585305858
251.5,71.45971782949849
252.50000000000003,71.72468980593837
253.5,71.98966178237826
254.5,72.25463375881814
255.49999999999997,72.51960573525803
256.5,72.78457771169792
257.5,73.04954968813782
258.5,73.3145216645777
259.5,73.57949364101755
260.5,73.84446561745744
261.5,74.10943759389733
262.5,74.37440957033725
263.5,74.63938154677713
264.5,74.90435352321703
265.5,75.1693254996569
266.5,75.43429747609679
267.5,75.69926945253668
268.5,75.96424142897658
269.5,76.22921340541646
270.5,76.49418538185635
271.5,76.75915735829624
272.5,77.02412933473612
273.5,77.28910131117601
274.5,77.55407328761588
275.5,77.81904526405577
276.5,78.08401724049567
277.5,73.4984010233503
278.5,34.79909155655862
279.5,89.16255101683878
